日期,代码,名称,上市日期,对标指数,benchmark,管理人,托管人,类别大类,类别细类,对标指数代码,规模,成交量,成交额,收盘价,VWAP,溢价率
2021-01-04,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-05,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-06,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-07,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-08,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-11,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-12,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-13,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-14,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-15,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
2021-01-18,530000.SH,天弘上证50ETF,20240913,上证50指数,上证50指数收益率,天弘基金管理有限公司,广发证券股份有限公司,股票型ETF,规模指数ETF,000016.SH,,,,,,
