月末交易日,收益日期,对标指数代码,对标指数,收盘价,日收益率
2024-07-31,2024-04-10,930604.CSI,中证海外中国互联网30指数,7147.2681,0.0205209104772583
2024-07-31,2024-04-11,930604.CSI,中证海外中国互联网30指数,7152.8161,0.000776240645009585
2024-07-31,2024-04-12,930604.CSI,中证海外中国互联网30指数,6977.9628,-0.0244453789326416
2024-07-31,2024-04-16,930604.CSI,中证海外中国互联网30指数,6755.2004,-0.0319237012842775
2024-07-31,2024-04-17,930604.CSI,中证海外中国互联网30指数,6736.8611,-0.00271484173881797
2024-07-31,2024-04-18,930604.CSI,中证海外中国互联网30指数,6759.1297,0.00330548599257896
2024-07-31,2024-04-19,930604.CSI,中证海外中国互联网30指数,6673.0779,-0.0127311952602419
2024-07-31,2024-04-23,930604.CSI,中证海外中国互联网30指数,7190.0724,0.0774746687731609
2024-07-31,2024-04-24,930604.CSI,中证海外中国互联网30指数,7400.7542,0.0293017633591561
2024-07-31,2024-04-25,930604.CSI,中证海外中国互联网30指数,7355.2872,-0.00614356304388552
2024-07-31,2024-04-26,930604.CSI,中证海外中国互联网30指数,7617.1892,0.0356073111597872
2024-07-31,2024-04-30,930604.CSI,中证海外中国互联网30指数,7474.6064,-0.0187185582839402
2024-07-31,2024-05-02,930604.CSI,中证海外中国互联网30指数,7833.8431,0.0480609520790285
2024-07-31,2024-05-07,930604.CSI,中证海外中国互联网30指数,7890.1184,0.00718361336596085
2024-07-31,2024-05-08,930604.CSI,中证海外中国互联网30指数,7846.9767,-0.00546781401911534
2024-07-31,2024-05-09,930604.CSI,中证海外中国互联网30指数,7936.9672,0.0114681747430192
2024-07-31,2024-05-10,930604.CSI,中证海外中国互联网30指数,7984.4066,0.00597701852667365
2024-07-31,2024-05-14,930604.CSI,中证海外中国互联网30指数,8231.9466,0.0310029301363484
2024-07-31,2024-05-16,930604.CSI,中证海外中国互联网30指数,8357.2195,0.0152178951209425
2024-07-31,2024-05-17,930604.CSI,中证海外中国互联网30指数,8505.3814,0.0177286117709365
2024-07-31,2024-05-21,930604.CSI,中证海外中国互联网30指数,8318.1285,-0.0220158145994487
2024-07-31,2024-05-22,930604.CSI,中证海外中国互联网30指数,8270.9267,-0.00567456970639502
2024-07-31,2024-05-23,930604.CSI,中证海外中国互联网30指数,8109.4956,-0.0195178975531243
2024-07-31,2024-05-24,930604.CSI,中证海外中国互联网30指数,8008.2772,-0.012481466788144
