日期,指数池日期,ETF代码,ETF名称,对标指数代码,对标指数,趋势窗口,窗口起始日,窗口结束日,窗口起始收盘价,窗口结束收盘价,log价格回归斜率,窗口收益率,窗口波动率,R平方,趋势质量因子,风险调整趋势得分,因子排名,排名百分比
2026-01-05,2025-12-31,512710.SH,富国中证军工龙头ETF,931066.CSI,中证军工龙头指数,10,2025-12-19,2026-01-05,3151.2868,3540.6481,0.0141863147674019,0.123556288180435,0.0607313361758153,0.884389424810055,0.10927187463556,2.03447340303436,1,0.025
2026-01-05,2025-12-31,562500.SH,华夏中证机器人ETF,H30590.CSI,中证机器人指数,10,2025-12-19,2026-01-05,1759.563,1944.5355,0.0113803223811143,0.105124113203108,0.0427453902631264,0.941336976135354,0.0989572148415242,2.45930877121483,2,0.05
2026-01-05,2025-12-31,588220.SH,科创100ETF基金,000698.SH,上证科创板100指数,10,2025-12-19,2026-01-05,1372.1823,1506.7542,0.00855775346263818,0.0980714442971609,0.0330296533431382,0.899866352788948,0.0882511928924306,2.96919387189194,3,0.075
2026-01-05,2025-12-31,159870.SZ,化工ETF,000813.CSI,中证细分化工产业主题指数,10,2025-12-19,2026-01-05,3546.2936,3862.2806,0.00905436572232255,0.0891034515585511,0.0312436264123837,0.943738066347415,0.0840903190787476,2.85189210696855,4,0.1
2026-01-05,2025-12-31,512400.SH,南方中证申万有色金属ETF,000819.SH,中证申万有色金属指数,10,2025-12-19,2026-01-05,8758.9028,9597.6053,0.00793449709393024,0.0957542878544102,0.056306155937336,0.824643819119939,0.0789631816333708,1.70060069383846,5,0.125
2026-01-05,2025-12-31,515250.SH,富国中证智能汽车主题ETF,930721.CSI,中证智能汽车主题指数,10,2025-12-19,2026-01-05,5560.6806,5935.9555,0.00575692741343113,0.0674872244955051,0.0343695845165439,0.87011352429703,0.0587215467508088,1.96357405667851,6,0.15
2026-01-05,2025-12-31,159755.SZ,广发国证新能源车电池ETF,980032.SZ,国证新能源车电池指数,10,2025-12-19,2026-01-05,14979.8389,16071.7861,0.00610238349717455,0.0728944554937769,0.0444278851835923,0.751575978327942,0.054785721702418,1.64073655976534,7,0.175
2026-01-05,2025-12-31,512100.SH,南方中证1000ETF,000852.SH,中证1000指数,10,2025-12-19,2026-01-05,7329.8057,7753.88,0.00518574909814891,0.057856144808859,0.0247606056125723,0.865708655538625,0.0500865653371253,2.33662074805967,8,0.2
2026-01-05,2025-12-31,159851.SZ,华宝中证金融科技主题ETF,930986.CSI,中证金融科技主题指数,10,2025-12-19,2026-01-05,2981.7566,3143.205,0.00650346071555541,0.0541453987223504,0.028980976961448,0.898576381774241,0.0486537764736532,1.8683082628435,9,0.225
2026-01-05,2025-12-31,588000.SH,华夏上证科创板50成份ETF,000688.SH,上证科创板50成份指数,10,2025-12-19,2026-01-05,1308.5889,1403.4142,0.00445249206805712,0.0724637814060627,0.048959239922226,0.599611228037783,0.0434500969571507,1.48008387224097,10,0.25
2026-01-05,2025-12-31,561360.SH,国泰中证油气产业ETF,H30198.CSI,中证油气产业指数,10,2025-12-19,2026-01-05,2007.1674,2094.5193,0.00536453160987308,0.043519987421079,0.020755040447226,0.882447516628461,0.038404104823433,2.09683944156783,11,0.275
2026-01-05,2025-12-31,159996.SZ,国泰中证全指家用电器ETF,930697.CSI,中证全指家用电器指数,10,2025-12-19,2026-01-05,12412.3301,12952.2878,0.00413322097619999,0.0435017193105427,0.0213218532573443,0.864341741514361,0.0376003518277434,2.04024100463962,12,0.3
2026-01-05,2025-12-31,563360.SH,华泰柏瑞中证A500ETF,000510.CSI,中证A500指数,10,2025-12-19,2026-01-05,5516.1706,5763.2977,0.00331245039402693,0.0448004816964871,0.0233670820843092,0.773741611540589,0.0346639969056346,1.91724758507911,13,0.325
2026-01-05,2025-12-31,159915.SZ,易方达创业板ETF,399006.SZ,创业板指数,10,2025-12-19,2026-01-05,3122.238,3294.5513,0.00340399341756239,0.0551890342760546,0.0382688060637312,0.546358765352828,0.0301530126280801,1.44214152341584,14,0.35
2026-01-05,2025-12-31,515790.SH,华泰柏瑞中证光伏产业ETF,931151.CSI,中证光伏产业指数,10,2025-12-19,2026-01-05,2783.6208,2904.3026,0.0042267379436582,0.0433542528493822,0.033735345115566,0.552143365737247,0.0239377630872815,1.28512848174118,15,0.375
2026-01-05,2025-12-31,159516.SZ,国泰中证半导体材料设备主题ETF,931743.CSI,中证半导体材料设备主题指数,10,2025-12-19,2026-01-05,4948.452,5451.806,0.00383463024159067,0.1017194872255,0.07719488493776,0.21251404042017,0.0216168192197589,1.3176972451933,16,0.4
2026-01-05,2025-12-31,515210.SH,国泰中证钢铁ETF,930606.CSI,中证钢铁指数,10,2025-12-19,2026-01-05,1131.1517,1162.1213,0.0034386878763943,0.0273788210723638,0.0180602847801127,0.77851238516726,0.0213147512961136,1.51596840280793,17,0.425
2026-01-05,2025-12-31,560280.SH,广发中证工程机械ETF,931752.CSI,中证工程机械主题指数,10,2025-12-19,2026-01-05,2478.0532,2539.4585,0.00334621937344513,0.0247796536410116,0.0248037126785145,0.7474362355987,0.0185212110368774,0.999030022730277,18,0.45
2026-01-05,2025-12-31,512200.SH,南方中证全指房地产ETF,931775.CSI,中证全指房地产指数,10,2025-12-19,2026-01-05,2928.1074,3015.7105,0.00217331134362891,0.0299179941282208,0.0261972876704311,0.536720668662234,0.0160576058135315,1.14202640000741,19,0.475
